3021			*			187
3021			*			192
495			+			88
2031			+			37
2031			+			38
2048			+			30
2048			+			49
2555			+			46
2714			+			43
2714			+			61
2714			+			90
2714			+			110
2714			+			120
2743			+			3
2963			+			46
3001			+			110
3001			+			111
3055			+			60
3075			+			72
3154			+			4
65			-			4
598			-			4
616			-			4
946			-			7
1098			-			30
1495			-			29
1725			-			132
1908			-			13
1933			-			25
1933			-			34
1933			-			59
1933			-			67
2189			-			36
2189			-			164
2303			-			4
3046			-			7
3097			-			58
3122			-			9
3130			-			3
3176			-			55
3177			-			38
3182			-			68
3182			-			74
3182			-			129
3192			-			4
3198			-			20
3199			-			2
3200			-			53
3203			-			3
727			0			14
1031			0			22
1806			0			18
2801			0			71
3015			0			142
3097			0			55
3097			0			72
3097			0			101
3097			0			119
3097			0			137
3097			0			155
3115			0			22
3176			0			52
298			01			60
1666			01			6
1726			01			139
1797			01			6
2073			01			6
2475			01			7
3055			01			61
2801			034			96
1430			0=x1			51
3009			0log2n			22
3009			0log2n			35
3176			0n			60
14			1			13
185			1			4
228			1			3
347			1			5
380			1			30
512			1			2
531			1			156
624			1			4
644			1			42
717			1			33
717			1			52
717			1			69
782			1			2
812			1			2
850			1			42
895			1			25
942			1			94
944			1			15
1035			1			17
1154			1			76
1155			1			68
1193			1			2
1194			1			47
1327			1			110
1350			1			133
1373			1			7
1385			1			34
1409			1			46
1433			1			151
1435			1			86
1440			1			43
1470			1			17
1470			1			185
1485			1			19
1489			1			34
1497			1			81
1497			1			165
1514			1			42
1537			1			4
1539			1			4
1570			1			26
1590			1			110
1642			1			58
1642			1			79
1650			1			83
1651			1			181
1652			1			173
1653			1			111
1654			1			84
1725			1			133
1745			1			26
1807			1			54
1869			1			50
1879			1			43
1933			1			26
1933			1			68
1976			1			127
2046			1			127
2048			1			31
2048			1			36
2060			1			25
2082			1			32
2106			1			65
2177			1			129
2177			1			175
2189			1			37
2189			1			79
2189			1			165
2194			1			30
2252			1			67
2263			1			151
2273			1			83
2275			1			32
2390			1			183
2391			1			37
2392			1			24
2393			1			37
2394			1			37
2395			1			58
2396			1			201
2397			1			15
2398			1			122
2399			1			62
2400			1			95
2401			1			151
2402			1			210
2479			1			54
2569			1			86
2569			1			125
2569			1			131
2569			1			137
2572			1			50
2629			1			36
2658			1			29
2659			1			27
2660			1			23
2661			1			28
2662			1			31
2683			1			59
2697			1			122
2716			1			79
2726			1			128
2726			1			150
2734			1			72
2764			1			48
2795			1			91
2800			1			64
2831			1			23
2841			1			37
2858			1			28
2896			1			75
2897			1			196
2898			1			133
2956			1			61
2967			1			87
3015			1			97
3021			1			38
3021			1			190
3024			1			64
3032			1			32
3046			1			24
3055			1			23
3075			1			71
3085			1			111
3092			1			93
3097			1			59
3098			1			76
3115			1			23
3135			1			81
3138			1			77
3173			1			27
3176			1			56
3177			1			39
3200			1			44
1440			1/16			42
495			1/2			89
3055			1/3			70
3055			1/4			77
3075			1/k			73
1811			1/n			166
48			10			18
341			10			4
1083			10			104
1085			10			18
1086			10			27
1087			10			56
1088			10			109
1089			10			15
1090			10			15
1091			10			18
1092			10			15
1093			10			15
1094			10			13
1095			10			15
1096			10			23
1097			10			36
1098			10			187
1099			10			201
1100			10			22
1101			10			22
1102			10			14
1103			10			15
1104			10			16
1105			10			14
1106			10			14
1107			10			13
1108			10			182
1109			10			60
1110			10			72
1111			10			64
1112			10			95
1113			10			121
1114			10			49
1115			10			49
1116			10			86
1117			10			97
1118			10			17
1119			10			16
1120			10			19
1121			10			49
1122			10			41
1123			10			13
1124			10			13
1125			10			12
1126			10			16
1127			10			13
1128			10			15
1129			10			15
1130			10			13
1131			10			16
1132			10			19
1133			10			19
1134			10			140
1135			10			256
1136			10			18
1137			10			13
1138			10			14
1139			10			16
1140			10			15
1141			10			14
1142			10			15
1143			10			198
1144			10			71
1145			10			175
1146			10			75
1147			10			101
1148			10			44
1149			10			16
1150			10			16
1151			10			17
1152			10			42
1153			10			52
